,0
0,-0.6635202169418335
1,1.1119393110275269
2,-3.731729507446289
3,-0.405616819858551
4,0.21967701613903046
5,0.16706888377666473
6,-0.4551953375339508
7,0.5666081309318542
8,-1.4295541048049927
9,0.5867826342582703
10,1.0406386852264404
11,1.1555777788162231
12,-0.45889753103256226
13,0.2726829946041107
14,0.5163236856460571
15,-1.219048261642456
16,-0.05327729880809784
17,-0.9215549230575562
18,-0.9084565043449402
19,1.1080267429351807
20,-0.9565761685371399
21,0.26851335167884827
22,1.6170274019241333
23,0.8518118262290955
24,2.523898124694824
25,-1.3279645442962646
26,-0.9461399912834167
27,-0.9447389841079712
28,-0.7129529118537903
29,1.0167145729064941
30,0.04164308309555054
31,-2.053234815597534
32,-0.6066209077835083
33,-0.49764496088027954
34,-1.2931647300720215
35,0.15455617010593414
36,-0.37701839208602905
37,0.9184364676475525
38,-2.194016933441162
39,0.10043208301067352
40,0.12830913066864014
41,-0.2199392020702362
42,0.13992546498775482
43,-3.127922296524048
44,-0.3089992105960846
45,-1.6172096729278564
46,-1.6550774574279785
47,0.7304016947746277
48,-0.5353310704231262
49,0.3382612466812134
50,0.5537300109863281
51,3.163480758666992
52,-1.229776382446289
53,0.600458025932312
54,0.8219420313835144
55,-0.5771251916885376
56,-0.7722207903862
57,0.5920605659484863
58,0.15592144429683685
59,2.4532089233398438
60,0.9852588176727295
61,0.20507638156414032
62,-2.280672788619995
63,-0.2065911740064621
64,-1.807707667350769
65,1.8618370294570923
66,0.17302168905735016
67,0.9355269074440002
68,-0.8675821423530579
69,-1.1909818649291992
70,-1.598536491394043
71,0.19381940364837646
72,1.1533421277999878
73,0.32161515951156616
74,-1.2565590143203735
75,-0.41224199533462524
76,0.4686726927757263
77,-1.0172759294509888
78,0.17114126682281494
79,-1.1288591623306274
80,-0.7706891298294067
81,-0.2118988037109375
82,0.3387928903102875
83,1.4026827812194824
84,-0.3158700466156006
85,0.12650206685066223
86,1.3148448467254639
87,0.08327542245388031
88,1.011520504951477
89,-1.9915268421173096
90,1.929803729057312
91,-0.5492140650749207
92,-0.8627328872680664
93,1.1135010719299316
94,0.513493001461029
95,0.010564658790826797
96,-0.8727024793624878
97,-1.044831395149231
98,0.7861109375953674
99,0.9038741588592529
100,0.5580701231956482
101,-0.7309514880180359
102,-0.4223747253417969
103,0.3733784854412079
104,-0.47608914971351624
105,-0.18520846962928772
106,0.6880826354026794
107,-0.424026757478714
108,0.49025261402130127
109,-0.04416118934750557
110,-0.3937855362892151
111,0.3939388394355774
112,0.916801929473877
113,-0.0757153183221817
114,-0.03788929805159569
115,1.7817624807357788
116,-0.3747658133506775
117,1.2642552852630615
118,0.0730651468038559
119,-0.11602670699357986
120,-0.1926369071006775
121,1.6807682514190674
122,1.4044369459152222
123,-0.014115482568740845
124,-1.4220232963562012
125,-0.8406121730804443
126,-1.390921950340271
127,1.224013328552246
